sample	unit	library	flowcell	platform	lane	sample_id	fq1	fq2	kb1	kb2
C106533	1	CKDN230017005-1A	HCVG2DSX7	ILLUMINA	2	HCVG2DSX7.2.C106533	wholeCRCTdata/C106533_CKDN230017005-1A_HCVG2DSX7_L2_1.fq.gz	wholeCRCTdata/C106533_CKDN230017005-1A_HCVG2DSX7_L2_2.fq.gz	6484816	7084783
C106533	2	CKDN230017005-1A	HCM23DSX7	ILLUMINA	1	HCM23DSX7.1.C106533	wholeCRCTdata/C106533_CKDN230017005-1A_HCM23DSX7_L1_1.fq.gz	wholeCRCTdata/C106533_CKDN230017005-1A_HCM23DSX7_L1_2.fq.gz	8267831	8964018
C106534	1	CKDN230017006-1A	HCVG2DSX7	ILLUMINA	2	HCVG2DSX7.2.C106534	wholeCRCTdata/C106534_CKDN230017006-1A_HCVG2DSX7_L2_1.fq.gz	wholeCRCTdata/C106534_CKDN230017006-1A_HCVG2DSX7_L2_2.fq.gz	8126640	8770201
C106534	2	CKDN230017006-1A	HCM23DSX7	ILLUMINA	1	HCM23DSX7.1.C106534	wholeCRCTdata/C106534_CKDN230017006-1A_HCM23DSX7_L1_1.fq.gz	wholeCRCTdata/C106534_CKDN230017006-1A_HCM23DSX7_L1_2.fq.gz	6885376	7360456
C106795	1	CKDN230016989-1A	HCNCFDSX7	ILLUMINA	4	HCNCFDSX7.4.C106795	wholeCRCTdata/C106795_CKDN230016989-1A_HCNCFDSX7_L4_1.fq.gz	wholeCRCTdata/C106795_CKDN230016989-1A_HCNCFDSX7_L4_2.fq.gz	9930855	10544385
C106795	2	CKDN230016989-1A	HCM23DSX7	ILLUMINA	1	HCM23DSX7.1.C106795	wholeCRCTdata/C106795_CKDN230016989-1A_HCM23DSX7_L1_1.fq.gz	wholeCRCTdata/C106795_CKDN230016989-1A_HCM23DSX7_L1_2.fq.gz	3169016	3379463
C106796	1	CKDN230016990-1A	HCVG2DSX7	ILLUMINA	1	HCVG2DSX7.1.C106796	wholeCRCTdata/C106796_CKDN230016990-1A_HCVG2DSX7_L1_1.fq.gz	wholeCRCTdata/C106796_CKDN230016990-1A_HCVG2DSX7_L1_2.fq.gz	27439124	29768024
C106914	1	CKDN230016991-1A	HCVG2DSX7	ILLUMINA	1	HCVG2DSX7.1.C106914	wholeCRCTdata/C106914_CKDN230016991-1A_HCVG2DSX7_L1_1.fq.gz	wholeCRCTdata/C106914_CKDN230016991-1A_HCVG2DSX7_L1_2.fq.gz	22949157	24497857
C106915	1	CKDN230016992-1A	HCVG2DSX7	ILLUMINA	1	HCVG2DSX7.1.C106915	wholeCRCTdata/C106915_CKDN230016992-1A_HCVG2DSX7_L1_1.fq.gz	wholeCRCTdata/C106915_CKDN230016992-1A_HCVG2DSX7_L1_2.fq.gz	26440553	28894748
C111600	1	CKDN230016993-1A	HCVG2DSX7	ILLUMINA	1	HCVG2DSX7.1.C111600	wholeCRCTdata/C111600_CKDN230016993-1A_HCVG2DSX7_L1_1.fq.gz	wholeCRCTdata/C111600_CKDN230016993-1A_HCVG2DSX7_L1_2.fq.gz	20975481	22349976
C111601	1	CKDN230016994-1A	HCVG2DSX7	ILLUMINA	1	HCVG2DSX7.1.C111601	wholeCRCTdata/C111601_CKDN230016994-1A_HCVG2DSX7_L1_1.fq.gz	wholeCRCTdata/C111601_CKDN230016994-1A_HCVG2DSX7_L1_2.fq.gz	5275899	5795671
C111601	2	CKDN230016994-1A	HCM23DSX7	ILLUMINA	3	HCM23DSX7.3.C111601	wholeCRCTdata/C111601_CKDN230016994-1A_HCM23DSX7_L3_1.fq.gz	wholeCRCTdata/C111601_CKDN230016994-1A_HCM23DSX7_L3_2.fq.gz	8594051	9525547
C116990	1	CKDN230016995-1A	HCVG2DSX7	ILLUMINA	1	HCVG2DSX7.1.C116990	wholeCRCTdata/C116990_CKDN230016995-1A_HCVG2DSX7_L1_1.fq.gz	wholeCRCTdata/C116990_CKDN230016995-1A_HCVG2DSX7_L1_2.fq.gz	5805701	6160541
